id,name,distance,denivele,altitude_max,altitude_min,title
196,GRP-valencay,225.0,1515,195,75,"Tour du pays de Valençay (Indre, Loir-et-Cher)"
197,GRP-margot,56.0,1431,701,367,Tour de la Reine Margot (Puy-de-Dôme)
198,GRP-tanargue,61.0,2664,1440,182,Tour du Tanargue (Ardèche)
199,GRP-margeride,195.0,4217,1486,839,Tour de la Margeride (Lozère)
200,GRP-vins-fromages,111.0,1506,322,101,"Sentier des Vins et Fromages (Yonne, Aube)"
201,GRP-luech,47.0,1785,1349,297,Tour de la Haute Vallée du Luech (Gard-Lozère)
202,GRP-duche-de-normandie,104.0,336,210,107,Tour du Duch� de Normandie (Eure)
203,GRP-baronnies-de-bigorre,65.0,2662,1230,316,Tour des Baronnies de Bigorre (Hautes-Pyrénées)
204,GRP-groix,25.0,411,41,1,Tour de l'Ile de Groix (Morbihan)
205,GRP-revermont,119.0,3639,649,218,"Tour du Revermont (Ain, Jura)"
206,GRP-france,8405.0,156714,2878,0,Tour de France
207,GRP-pic-saint-loup-vignes,72.0,1123,540,73,Tour dans le Grand Pic Saint-Loup des Vignes aux Causses (Hérault)
208,GRP-woevre,75.0,795,415,208,Tour de la plaine de la Woëvre (Meuse)
209,GRP-midi-quercy,174.0,3227,393,91,"Tour du Midi Quercy (Tarn-et-Garonne, Tarn, Lot)"
210,GRP-bachelard,29.0,666,346,166,Tour du Pays de Gaston Bachelard (Aube)        
211,GRP-caux-vallee-de-seine,76.0,1485,150,3,Tour du Pays de Caux vallée de Seine (Seine-Maritime)
212,GRP-blond,80.0,1237,495,236,Tour des Monts de Blond (Haute-Vienne)
213,GRP-provence-mines-energies-nord,42.0,757,538,177,Tour en Provence Mines d'énergies Nord (Bouches-du-Rhône)
214,GRP-levezou-lacs,103.0,2233,1004,588,Tour des Lacs du Lévézou (Aveyron)
215,GRP-galeizon,56.0,2189,908,146,Tour de la Vallée du Galeizon (Gard-Lozère)
216,GRP-xaintrie-blanche,60.0,1431,618,280,Tour de la Xaintrie Blanche (Corrèze)
217,GRP-capcir,63.0,1828,2331,1411,Tour du Capcir (Pyrénées-Orientales)
218,GRP-truyere,102.0,2493,1041,727,"Tour des Gorges de la Truyère (Cantal, Lozère)"
219,GRP-sologne,217.0,574,170,77,"Tour de Sologne (Loiret, Cher, Loir-et-Cher)"
220,GRP-buech,215.0,10984,2005,551,"Tour du Buëch (Hautes-Alpes, Drôme)"
221,GRP-corse-mareamare-sud,82.0,3748,1183,4,Corse. Mare à Mare (Sud)
222,GRP-hauts-de-meuse,95.0,1623,400,206,Tour des Hauts de Meuse
223,GRP-montmirail,57.0,1796,603,85,Tour des Dentelles de Montmirail (Vaucluse)
224,GRP-nantais,164.0,870,81,1,Tour du Pays Nantais (Loire-Atlantique)
225,GRP-cascades-landes-tourbieres,63.0,1628,810,415,"Tour des Cascades, Landes et Tourbières (Creuse)"
226,GRP-millevaches,58.0,1061,949,725,Tour du plateau de Millevaches (Corrèze)
227,GRP-pic-saint-loup-seranne,68.0,2107,777,44,Tour dans le Grand Pic St-Loup de la Séranne aux gorges de l'Hérault
228,GRP-vaucluse,66.0,2193,630,77,Tour des Monts de Vaucluse
229,GRP-melusine,104.0,1234,215,12,Tour de Mélusine (Vendée)
230,GRP-entre-deux-lacs,48.0,1315,647,144,Entre Deux Lacs
231,GRP-corse-mareemonti-sud,74.0,2844,885,0,Corse. Mare è Monti (Sud)
232,GRP-ecueille,95.0,582,190,110,Tour du pays d'Ecueillé (Indre)
233,GRP-lyonnais-monts,103.0,3218,936,240,Tour des Monts du Lyonnais (Rhône-Loire)
234,GRP-jacques,44.0,757,250,132,"Tour de Saint-Jacques (Aube, Yonne)"
235,GRP-balcon-valromey,105.0,2476,1169,235,Tour du Balcon du Valromey (Ain) 
236,GRP-aubrac,167.0,3530,1425,792,Tour des Monts Aubrac (Lozère-Aveyron-Cantal)
237,GRP-ventoux,104.0,3497,867,279,"Tour du Mont Ventoux (Drôme, Vaucluse)"
